Date,Minimum Temperature,Maximum Temperature
2026-09-07,21.5,32.0
2026-09-08,21.8,33.5
2026-09-09,19.8,32.2
2026-09-10,20.0,31.0
2026-09-11,20.1,30.4
2026-09-12,20.6,30.7
2026-09-13,20.8,32.5
2026-09-14,20.4,33.6
